time	acc	vel	disp
1.175	0.106665	0.000968737	-0.00404866
1.18	0.103581	0.00149435	-0.0040425
1.185	0.101284	0.00200651	-0.00403375
1.19	0.0998931	0.00250946	-0.00402246
1.195	0.0994375	0.00300778	-0.00400867
1.2	0.099852	0.00350601	-0.00399238
1.205	0.101004	0.00400815	-0.0039736
1.21	0.102722	0.00451746	-0.00395228
1.215	0.104816	0.00503631	-0.0039284
1.22	0.107075	0.00556603	-0.00390189
1.225	0.109132	0.00610655	-0.00387271
1.23	0.110528	0.0066557	-0.0038408
1.235	0.110886	0.00720923	-0.00380614
1.24	0.109978	0.00776139	-0.00376872
1.245	0.107753	0.00830572	-0.00372855
1.25	0.104306	0.00883587	-0.00368569
1.255	0.0998481	0.00934625	-0.00364024
1.26	0.0946454	0.00983249	-0.00359229
1.265	0.0890481	0.0102917	-0.00354198
1.27	0.0834483	0.010723	-0.00348944
1.275	0.0781704	0.011127	-0.00343482
1.28	0.0734388	0.011506	-0.00337824
1.285	0.0693531	0.011863	-0.00331981
1.29	0.0658966	0.0122011	-0.00325965
1.295	0.0627263	0.0125227	-0.00319784
1.3	0.0588517	0.0128266	-0.00313447
1.305	0.0529413	0.0131061	-0.00306964
1.31	0.0438732	0.0133482	-0.0030035
1.315	0.030952	0.0135352	-0.0029363
1.32	0.013999	0.0136476	-0.00286834
1.325	-0.00666516	0.0136659	-0.00280005
1.33	-0.0303141	0.0135735	-0.00273196
1.335	-0.0560356	0.0133576	-0.00266463
1.34	-0.0828903	0.0130103	-0.00259871
1.345	-0.110068	0.0125279	-0.00253486
1.35	-0.136943	0.0119104	-0.00247377
1.355	-0.163066	0.0111604	-0.00241609
1.36	-0.187854	0.0102831	-0.00236248
1.365	-0.210654	0.00928678	-0.00231356
1.37	-0.231026	0.00818258	-0.00226988
1.375	-0.248861	0.00698286	-0.00223197
1.38	-0.26431	0.00569993	-0.00220026
1.385	-0.277617	0.00434512	-0.00217515
1.39	-0.288128	0.00293076	-0.00215696
1.395	-0.294587	0.00147397	-0.00214595
1.4	-0.295849	-2.11739e-006	-0.00214227
1.405	-0.291173	-0.00146967	-0.00214595
1.41	-0.280026	-0.00289767	-0.00215687
1.415	-0.262337	-0.00425357	-0.00217475
1.42	-0.238567	-0.00550583	-0.00219914
1.425	-0.20957	-0.00662617	-0.00222947
1.43	-0.176479	-0.0075913	-0.00226502
1.435	-0.140488	-0.00838372	-0.00230495
1.44	-0.103168	-0.00899286	-0.0023484
1.445	-0.0669289	-0.0094181	-0.00239442
1.45	-0.034517	-0.00967171	-0.00244215
1.455	-0.00815142	-0.00977838	-0.00249077
1.46	0.0107985	-0.00977176	-0.00253965
1.465	0.0218771	-0.00969008	-0.0025883
1.47	0.0254385	-0.00957179	-0.00263646
1.475	0.0225007	-0.00945194	-0.00268402
1.48	0.0151447	-0.00935783	-0.00273104
1.485	0.00656088	-0.00930356	-0.0027777
1.49	0.00037597	-0.00928622	-0.00282417
1.495	0.000130676	-0.00928495	-0.0028706
1.5	0.00874985	-0.00926275	-0.00291697
1.505	0.0279685	-0.00917096	-0.00296305
1.51	0.057768	-0.00895661	-0.00300837
1.515	0.0962266	-0.00857163	-0.00305219
1.52	0.139703	-0.0079818	-0.00309357
1.525	0.183433	-0.00717396	-0.00313146
1.53	0.221722	-0.00616107	-0.0031648
1.535	0.248763	-0.00498486	-0.00319267
1.54	0.260433	-0.00371187	-0.00321441
1.545	0.254854	-0.00242365	-0.00322975
1.55	0.231849	-0.0012069	-0.00323882
1.555	0.193059	-0.000144625	-0.0032422
1.56	0.144737	0.000699865	-0.00324081
1.565	0.099071	0.00130939	-0.00323579
1.57	0.0696184	0.00173111	-0.00322819
1.575	0.0615497	0.00205903	-0.00321871
1.58	0.0672597	0.00238105	-0.00320761
1.585	0.0707679	0.00272612	-0.00319485
1.59	0.0569437	0.0030454	-0.00318042
1.595	0.0278618	0.00325741	-0.00316466
1.6	-0.027978	0.00325712	-0.00314837
1.605	-0.130895	0.00285994	-0.00313308
1.61	-0.265818	0.00186816	-0.00312126
1.615	-0.47152	2.48152e-005	-0.00311653
1.62	-0.6	-0.00265398	-0.0031231
1.625	-0.6	-0.00565398	-0.00314387
1.63	-0.524107	-0.00846425	-0.00317917
1.635	-0.57227	-0.0112052	-0.00322834
1.64	-0.588272	-0.0141066	-0.00329162
1.645	-0.475705	-0.0167665	-0.0033688
1.65	-0.358532	-0.0188521	-0.00345785
1.655	-0.25073	-0.0203752	-0.00355592
1.66	-0.166087	-0.0214173	-0.0036604
1.665	-0.099657	-0.0220816	-0.00376915
1.67	-0.0372196	-0.0224238	-0.00388041
1.675	0.024688	-0.0224552	-0.00399261
1.68	0.0843899	-0.0221825	-0.0041042
1.685	0.141798	-0.021617	-0.0042137
1.69	0.200367	-0.0207616	-0.00431965
1.695	0.264102	-0.0196004	-0.00442055
1.7	0.330705	-0.0181134	-0.00451484
1.705	0.391405	-0.0163081	-0.00460089
1.71	0.436221	-0.0142391	-0.00467726
1.715	0.458057	-0.0120034	-0.00474286
1.72	0.454536	-0.00972187	-0.00479718
1.725	0.427806	-0.00751602	-0.00484027
1.73	0.383288	-0.00548829	-0.00487278
1.735	0.327988	-0.0037101	-0.00489578
1.74	0.268847	-0.00221801	-0.0049106
1.745	0.21151	-0.00101712	-0.00491869
1.75	0.159594	-8.93567e-005	-0.00492145
1.755	0.114912	0.000596908	-0.00492018
1.76	0.0780933	0.00107942	-0.00491599
1.765	0.0492651	0.00139782	-0.0049098
1.77	0.0279363	0.00159082	-0.00490233
1.775	0.0130968	0.0016934	-0.00489412
1.78	0.00332368	0.00173445	-0.00488555
1.785	-0.0029685	0.00173534	-0.00487687
1.79	-0.00720726	0.0017099	-0.00486826
1.795	-0.0103372	0.00166604	-0.00485982
1.8	-0.0130512	0.00160757	-0.00485164
1.805	-0.0159271	0.00153513	-0.00484378
1.81	-0.0196312	0.00144623	-0.00483633
1.815	-0.0248578	0.00133501	-0.00482937
1.82	-0.0323508	0.00119199	-0.00482306
1.825	-0.0414949	0.00100737	-0.00481756
1.83	-0.0502462	0.000778018	-0.00481309
1.835	-0.0566463	0.000510787	-0.00480987
1.84	-0.059209	0.000221149	-0.00480804
1.845	-0.0571584	-6.97696e-005	-0.00480766
1.85	-0.0503137	-0.00033845	-0.00480868
1.855	-0.0390291	-0.000561807	-0.00481093
1.86	-0.0239828	-0.000719336	-0.00481414
1.865	-0.00596157	-0.000794197	-0.00481792
1.87	0.0143202	-0.000773301	-0.00482184
1.875	0.036294	-0.000646765	-0.00482539
1.88	0.0595843	-0.000407069	-0.00482802
1.885	0.0838994	-4.83598e-005	-0.00482916
1.89	0.108577	0.00043283	-0.0048282
1.895	0.130817	0.00103131	-0.00482454
1.9	0.146223	0.00172391	-0.00481765
1.905	0.151013	0.00246701	-0.00480718
1.91	0.14287	0.00320171	-0.004793
1.915	0.121401	0.00386239	-0.00477534
1.92	0.0880343	0.00438598	-0.00475472
1.925	0.0458906	0.00472079	-0.00473196
1.93	-0.000631094	0.00483394	-0.00470807
1.935	-0.0463131	0.00471658	-0.00468419
1.94	-0.0849313	0.00438847	-0.00466143
1.945	-0.109988	0.00390117	-0.00464071
1.95	-0.116558	0.00333481	-0.00462262
1.955	-0.102293	0.00278768	-0.00460731
1.96	-0.0681157	0.00236166	-0.00459444
1.965	-0.0180995	0.00214612	-0.00458317
1.97	0.041152	0.00220375	-0.00457229
1.975	0.101891	0.00256136	-0.00456038
1.98	0.15692	0.00320839	-0.00454596
1.985	0.201225	0.00410375	-0.00452768
1.99	0.23178	0.00518626	-0.00450445
1.995	0.246411	0.00638174	-0.00447553
2	0.242705	0.00760453	-0.00444056
2.005	0.218142	0.00875665	-0.00439966
2.01	0.172873	0.00973418	-0.00435343
2.015	0.112935	0.0104487	-0.00430298
2.02	0.0509823	0.0108585	-0.00424971
2.025	0.00476692	0.0109979	-0.00419507
2.03	-0.00830842	0.010989	-0.0041401
2.035	0.0215547	0.0110221	-0.00408507
2.04	0.0903334	0.0113019	-0.00402926
2.045	0.179672	0.0119769	-0.00397107
2.05	0.265822	0.0130906	-0.0039084
2.055	0.328311	0.0145759	-0.00383923
2.06	0.355651	0.0162858	-0.00376208
2.065	0.380005	0.018125	-0.00367605
2.07	0.38527	0.0200382	-0.00358064
2.075	0.441128	0.0221042	-0.00347529
2.08	0.516611	0.0244985	-0.00335878
2.085	0.470682	0.0269667	-0.00323012
2.09	0.509196	0.0294164	-0.00308916
2.095	0.478229	0.031885	-0.00293591
2.1	0.167421	0.0334991	-0.00277245
2.105	0.173509	0.0343515	-0.00260282
2.11	0.118821	0.0350823	-0.00242923
2.115	0.118152	0.0356747	-0.00225234
2.12	0.117595	0.0362641	-0.00207249
2.125	0.115453	0.0368467	-0.00188972
2.13	0.127211	0.0374534	-0.00170397
2.135	0.132181	0.0381018	-0.00151508
2.14	0.139411	0.0387808	-0.00132287
2.145	0.153345	0.0395127	-0.00112714
2.15	0.178843	0.0403432	-0.0009275
2.155	0.215082	0.041328	-0.000723322
2.16	0.254698	0.0425024	-0.000513746
2.165	0.287479	0.0438579	-0.000297845
2.17	0.305372	0.04534	-7.485e-005
2.175	0.30586	0.0468681	0.00015567
2.18	0.292002	0.0483627	0.000393747
2.185	0.269624	0.0497668	0.000639071
2.19	0.24512	0.0510537	0.000891122
2.195	0.223676	0.0522257	0.00114932
2.2	0.207836	0.0533044	0.00141315
2.205	0.197996	0.054319	0.0016822
2.21	0.193358	0.0552974	0.00195625
2.215	0.192919	0.0562631	0.00223515
2.22	0.193187	0.0572284	0.00251888
2.225	0.188314	0.0581821	0.0028074
2.23	0.172973	0.0590853	0.00310057
2.235	0.143513	0.0598766	0.00339798
2.24	0.098682	0.060482	0.00369887
2.245	0.0396445	0.0608279	0.00400215
2.25	-0.0303771	0.060851	0.00430634
2.255	-0.106702	0.0605083	0.00460974
2.26	-0.183731	0.0597822	0.00491047
2.265	-0.255679	0.0586837	0.00520663
2.27	-0.317313	0.0572512	0.00549647
2.275	-0.364654	0.0555463	0.00577846
2.28	-0.395195	0.0536467	0.00605145
2.285	-0.408003	0.0516387	0.00631466
2.29	-0.403573	0.0496098	0.00656778
2.295	-0.383638	0.0476417	0.00681091
2.3	-0.35085	0.0458055	0.00704453
2.305	-0.308796	0.0441564	0.00726943
2.31	-0.261744	0.04273	0.00748665
2.315	-0.214004	0.0415407	0.00769733
2.32	-0.169464	0.040582	0.00790263
2.325	-0.131278	0.0398301	0.00810366
2.33	-0.10178	0.0392475	0.00830136
2.335	-0.0824259	0.038787	0.00849644
2.34	-0.0746782	0.0383942	0.0086894
2.345	-0.0800406	0.0380074	0.0088804
2.35	-0.0982879	0.0375616	0.00906932
2.355	-0.126034	0.0370008	0.00925573
2.36	-0.157711	0.0362914	0.00943896
2.365	-0.187767	0.0354277	0.00961826
2.37	-0.211647	0.0344292	0.0097929
2.375	-0.226523	0.0333338	0.00996231
2.38	-0.231183	0.0321895	0.0101261
2.385	-0.226137	0.0310462	0.0102842
2.39	-0.21312	0.0299481	0.0104367
2.395	-0.19482	0.0289282	0.0105839
2.4	-0.174473	0.028005	0.0107262
2.405	-0.155452	0.0271802	0.0108642
2.41	-0.140968	0.0264391	0.0109982
2.415	-0.133772	0.0257523	0.0111287
2.42	-0.136321	0.0250771	0.0112558
2.425	-0.151341	0.0243579	0.0113794
2.43	-0.180988	0.0235271	0.0114991
2.435	-0.226093	0.0225094	0.0116142
2.44	-0.285643	0.02123	0.0117235
2.445	-0.356853	0.0196238	0.0118257
2.45	-0.435532	0.0176428	0.0119188
2.455	-0.516486	0.0152628	0.0120011
2.46	-0.58474	0.0125097	0.0120705
2.465	-0.59837	0.00955195	0.0121257
2.47	-0.6	0.00655602	0.0121659
2.475	-0.6	0.00355602	0.0121912
2.48	-0.6	0.000556024	0.0122015
2.485	-0.593126	-0.00242679	0.0121968
2.49	-0.576026	-0.00534967	0.0121774
2.495	-0.554906	-0.008177	0.0121436
2.5	-0.532002	-0.0108943	0.0120959
2.505	-0.509852	-0.0134989	0.0120349
2.51	-0.491034	-0.0160011	0.0119612
2.515	-0.477886	-0.0184234	0.0118751
2.52	-0.426141	-0.0206835	0.0117773
2.525	-0.363531	-0.0226577	0.011669
2.53	-0.309729	-0.0243408	0.0115515
2.535	-0.267051	-0.0257828	0.0114262
2.54	-0.23642	-0.0270414	0.0112941
2.545	-0.217393	-0.028176	0.0111561
2.55	-0.208215	-0.02924	0.0110125
2.555	-0.20618	-0.030276	0.0108637
2.56	-0.208005	-0.0313114	0.0107098
2.565	-0.210799	-0.0323585	0.0105506
2.57	-0.212212	-0.033416	0.0103862
2.575	-0.210386	-0.0344725	0.0102164
2.58	-0.203978	-0.0355084	0.0100415
2.585	-0.19232	-0.0364991	0.00986146
2.59	-0.175556	-0.0374188	0.00967667
2.595	-0.154386	-0.0382437	0.00948751
2.6	-0.129972	-0.0389546	0.00929451
2.605	-0.103556	-0.0395384	0.00909828
2.61	-0.0760534	-0.0399874	0.00889947
2.615	-0.0478646	-0.0402972	0.00869876
2.62	-0.0192959	-0.0404651	0.00849685
2.625	0.00895995	-0.040491	0.00829446
2.63	0.0354891	-0.0403798	0.00809228
2.635	0.0580827	-0.0401459	0.00789097
2.64	0.0740613	-0.0398155	0.00769106
2.645	0.0815392	-0.0394265	0.00749296
2.65	0.0804014	-0.0390217	0.00729684
2.655	0.0720196	-0.0386406	0.00710268
2.66	0.0588484	-0.0383135	0.0069103
2.665	0.0451383	-0.0380535	0.00671938
2.67	0.0391419	-0.0378428	0.00652964
2.675	0.0530563	-0.0376123	0.006341
2.68	0.0955153	-0.0372409	0.00615387
2.685	0.157846	-0.0366075	0.00596925
2.69	0.207574	-0.0356939	0.00578849
2.695	0.204597	-0.0346635	0.0056126
2.7	0.13691	-0.0338097	0.00544142
2.705	0.045491	-0.0333537	0.00527351
2.71	0.00599224	-0.033225	0.00510706
2.715	0.0706742	-0.0330333	0.00494142
2.72	0.219805	-0.0323071	0.00477807
2.725	0.371397	-0.0308291	0.00462022
2.73	0.408161	-0.0288802	0.00447095
2.735	0.326544	-0.0270435	0.00433114
2.74	0.255161	-0.0255892	0.00419956
2.745	0.258067	-0.0243061	0.00407482
2.75	0.33713	-0.0228182	0.00395701
2.755	0.420162	-0.0209249	0.00384765
2.76	0.426997	-0.018807	0.00374832
2.765	0.406625	-0.016723	0.0036595
2.77	0.387515	-0.0147376	0.00358085
2.775	0.394811	-0.0127818	0.00351205
2.78	0.425707	-0.0107305	0.00345327
